El-number,Effect,Length,R_min,R_nom,R_max,I,Weigth,Type,Name,MainSpec,Voltage,per_meter,isMat,usage,self_limiting,inside,outside,,,
1036756,1600,160,31,"33,0625",37,7,"7,2",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1036746,1820,182,28,"29,06593407",32,"7,9","8,1",GG-10,GG-10 10,10,230,FALSE,FALSE,"low_profile, non_fire_proof_floor",FALSE,TRUE,TRUE,,,
1063000,1050,35,47,"50,38095238",56,"4,6","2,9",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063001,1500,50,33,"35,26666667",39,"6,5","3,7",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063002,1800,60,27,"29,38888889",33,"7,8","4,1",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063003,2100,70,23,"25,19047619",28,"9,1","5,2",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063004,2400,80,20,"22,04166667",25,"10,4","5,7",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063005,2700,90,18,"19,59259259",22,"11,7",6,Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063006,3000,100,16,"17,63333333",20,13,"6,5",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063007,3600,120,14,"14,69444444",17,"15,7","7,5",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063008,4500,150,11,"11,75555556",13,"19,6","10,7",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063009,5100,170,9,"10,37254902",12,"22,2",12,Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1063010,6000,200,8,"8,816666667",10,"26,1","13,8",Snøkabel-Lett,Snøkabel-Lett 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037400,1050,35,47,"50,38095238",56,"4,6","5,1",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037401,1500,50,33,"35,26666667",39,"6,5","6,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037402,1800,60,27,"29,38888889",33,"7,8","7,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037403,2100,70,23,"25,19047619",28,"9,1","8,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037404,2400,80,20,"22,04166667",25,"10,4","9,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037405,2700,90,18,"19,59259259",22,"11,7","10,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037406,3000,100,16,"17,63333333",20,13,"11,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037407,3600,120,14,"14,69444444",17,"15,7","13,6",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037408,4500,150,11,"11,75555556",13,"19,6","18,5",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037409,5100,170,9,"10,37254902",12,"22,2","20,8",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037410,6000,200,8,"8,816666667",10,"26,1","23,9",Snøkabel,Snøkabel 30,30,230,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037420,2700,90,56,"59,25925926",65,"6,8","10,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037421,3000,100,51,"53,33333333",59,"7,5","11,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037422,3600,120,42,"44,44444444",49,9,"13,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037423,4500,150,34,"35,55555556",39,"11,3","17,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037424,5100,170,30,"31,37254902",35,"12,8","19,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1037425,6000,200,25,"26,66666667",29,15,"22,6",Snøkabel,Snøkabel 30,30,400,FALSE,FALSE,snowmelt,FALSE,FALSE,TRUE,,,
1036761,11,,"4520,545455","4809,090909","5193,818182","0,04782608696",,Lime,Lime 11,11,230,TRUE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036790,22,2,"2260,272727","2404,545455","2596,909091","0,09565217391",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036791,44,4,"1130,136364","1202,272727","1298,454545","0,1913043478",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036792,66,6,"753,4242424","801,5151515","865,6363636","0,2869565217",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036793,88,8,"565,0681818","601,1363636","649,2272727","0,3826086957",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036794,110,10,"452,0545455","480,9090909","519,3818182","0,4782608696",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036795,143,13,"347,7342657","369,9300699","399,5244755","0,6217391304",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036796,176,16,"282,5340909","300,5681818","324,6136364","0,7652173913",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036797,209,19,"237,923445","253,1100478","273,3588517","0,9086956522",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036798,242,22,"205,4793388","218,5950413","236,0826446","1,052173913",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036799,275,25,"180,8218182","192,3636364","207,7527273","1,195652174",,Plug and Play,Plug and Play 11,11,230,FALSE,FALSE,"frost_protection_pipe, Schuco",TRUE,TRUE,TRUE,,,
1036759,20,,"2486,3",2645,"2856,6","0,08695652174",,K3 Selvregulerende,K3 Selvregulerende 20,20,230,TRUE,FALSE,frost_protection_pipe,TRUE,TRUE,TRUE,,,
1014015,130,"3,3",387,"406,9230769",448,"0,5652173913","0,4",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014016,380,10,132,"139,2105263",153,"1,652173913","0,7",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014017,735,20,69,"71,97278912",79,"3,195652174","1,1",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014018,1400,35,36,"37,78571429",42,"6,086956522","1,6",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014019,1400,35,36,"37,78571429",42,"6,086956522","1,6",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014020,3500,85,15,"15,11428571",17,"15,2173913","3,7",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014021,3500,85,15,"15,11428571",17,"15,2173913","3,8",Betongherding,Betongherding 40,40,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014025,2200,135,23,"24,04545455",27,"9,5","5,9",Frosikring Betong-230V,Frosikring Betong-230V 16,16,230,FALSE,FALSE,"Schuco, concrete",FALSE,TRUE,TRUE,,,
1014026,3800,235,40,"42,10526316",46,"9,5","9,7",Frosikring Betong-400V,Frosikring Betong-400V 16,16,400,FALSE,FALSE,"concrete, frost_protection",FALSE,TRUE,TRUE,,,
1014002,300,10,168,"176,3333333",194,"1,3","0,7",Marine,Marine 30,30,230,FALSE,FALSE,"snowmelt, marine",FALSE,TRUE,FALSE,,,
1014003,600,20,84,"88,16666667",97,"2,6","1,2",Marine,Marine 30,30,230,FALSE,FALSE,"snowmelt, marine",FALSE,TRUE,FALSE,,,
1014004,900,30,56,"58,77777778",65,"3,9","1,5",Marine,Marine 30,30,230,FALSE,FALSE,"snowmelt, marine",FALSE,TRUE,FALSE,,,
1014005,1200,40,42,"44,08333333",49,"5,2","1,9",Marine,Marine 30,30,230,FALSE,FALSE,"snowmelt, marine",FALSE,TRUE,FALSE,,,
1014006,1500,50,34,"35,26666667",39,"6,5","2,3",Marine,Marine 30,30,230,FALSE,FALSE,"snowmelt, marine",FALSE,TRUE,FALSE,,,
